participant,task,joint,method,bias,conf_interval,r_squared,rmsd
participant_02,gait,RShoulder_RIE,Method1,0.006391109476458376,0.005227493114006583,0.9213125543653183,0.027425941968518473
participant_02,gait,RShoulder_RIE,Method2,-0.009154658969836771,0.027061873800262076,0.03411814798186974,0.1383739475739792
participant_02,gait,RElbow_FE,Method1,-0.1477490542102226,0.0034904101497381505,0.9954494905185054,0.14881839786555665
participant_02,gait,RElbow_FE,Method2,-0.2160642942782923,0.0059993030598700595,0.9899597272666794,0.2182216100876171
participant_02,gait,RElbow_PS,Method1,-0.3792308849016712,0.019439605288304785,0.29811461818072826,0.3919860529037998
participant_02,gait,RElbow_PS,Method2,,,,
participant_02,gait,RWrist_FE,Method1,-0.1494857824595877,0.005059500432240759,0.683549411008447,0.15169822107559847
participant_02,gait,RWrist_FE,Method2,,,,
participant_02,sit-stand,RHip_FE,Method1,0.2571740090216933,0.02540812264476523,0.9720185080968891,0.28799871160941415
participant_02,sit-stand,RHip_FE,Method2,0.30881456145571673,0.04290165300185768,0.9026755679591295,0.3785201549014851
participant_02,sit-stand,RHip_AA,Method1,0.0029144319262154462,0.0026465867723672733,0.961443442333819,0.013813933303094054
participant_02,sit-stand,RHip_AA,Method2,0.04589576739690455,0.003652282419645279,0.9383294223129884,0.04953434084878469
participant_02,sit-stand,RKnee_FE,Method1,-0.19322578977631266,0.004667344617863074,0.9989441518843392,0.19468760613314678
participant_02,sit-stand,RKnee_FE,Method2,-0.13891659547743926,0.005272250569027767,0.9988863119449465,0.14149695926890685
participant_02,sit-stand,RAnkle_FE,Method1,0.3004820451938664,0.0021442422102437657,0.9855296481468523,0.3006811323156547
participant_02,sit-stand,RAnkle_FE,Method2,-0.1219642604812986,0.004404423064678253,0.9862661872745939,0.12401714085376332
participant_02,sit-stand,L5S1_FE,Method1,0.10217983769175479,0.025817240815106734,0.8347847228622297,0.166706448634896
participant_02,sit-stand,L5S1_FE,Method2,,,,
participant_02,sit-stand,RShoulder_AA,Method1,-0.08014252864276054,0.004902212725784704,0.9512077661083799,0.0839546871566447
participant_02,sit-stand,RShoulder_AA,Method2,-0.029948245155682653,0.005121729763465617,0.8720898639528992,0.0397459543176937
participant_02,sit-stand,RShoulder_RIE,Method1,-5.3079900711248375e-05,0.0038179491047900262,0.8714039645115295,0.019479404486783328
participant_02,sit-stand,RShoulder_RIE,Method2,-0.15357252689165704,0.02012588140298492,0.4857087421258228,0.1847385545801134
participant_02,sit-stand,RElbow_FE,Method1,-0.16611792581230472,0.0039238316104812775,0.983427878438157,0.1673198960663967
participant_02,sit-stand,RElbow_FE,Method2,-0.23189843982553232,0.00619505203626259,0.9381242363640302,0.2340425488154042
participant_02,sit-stand,RElbow_PS,Method1,-0.2455935367750853,0.01508020653121397,0.013095776343908683,0.25736340576956956
participant_02,sit-stand,RElbow_PS,Method2,,,,
participant_02,sit-stand,RWrist_FE,Method1,-0.13344066211631878,0.009262833630388954,0.008577377273181863,0.14156220175370635
participant_02,sit-stand,RWrist_FE,Method2,,,,
participant_02,mmh,RHip_FE,Method1,-0.04198763624761763,0.006390220118878421,0.9978026531569331,0.05315945722179232
participant_02,mmh,RHip_FE,Method2,0.10044336385210623,0.06228200821166209,0.9979671977192056,0.33326218768915566
participant_02,mmh,RHip_AA,Method1,-0.02920756117856563,0.007724112201430347,0.9705143801806358,0.049052319834777015
participant_02,mmh,RHip_AA,Method2,0.046218250837065905,0.006923748361029549,0.9585541404077988,0.05817215629213048
participant_02,mmh,RKnee_FE,Method1,-0.10848931184811017,0.006497111451284776,0.9988225716737335,0.11344053808680718
participant_02,mmh,RKnee_FE,Method2,-0.08601701678220247,0.009336818104548204,0.9969691042533273,0.09832697731974264
participant_02,mmh,RAnkle_FE,Method1,0.24109063650502371,0.0046403252341179054,0.9842066124169253,0.24225029769127926
participant_02,mmh,RAnkle_FE,Method2,-0.1375953647523083,0.010764916317719904,0.9188571903870029,0.14815203337077532
participant_02,mmh,L5S1_FE,Method1,-0.1338040790186573,0.010111945972342464,0.9902513026071308,0.14340579045858368
participant_02,mmh,L5S1_FE,Method2,,,,
